seed,variant,peak_fitness,lifespan,tiles,eat,seeds,final_fitness,ticks_s
1,shooting,33.15,409.0,40.7,108.0,156.0,30.047,5.57
1,policy_shooting,43.12,453.2,50.4,562.0,318.0,55.963,6.9
1,cem,51.89,503.3,49.7,640.0,395.0,51.019,4.96
1,imag_off,33.74,395.4,14.6,65.0,326.0,41.507,8.37
1,imag_on,28.1,384.9,28.9,123.0,229.0,27.105,6.58
2,shooting,41.25,463.9,38.9,328.0,283.0,35.258,6.62
2,policy_shooting,45.26,449.2,38.6,504.0,519.0,47.692,6.15
2,cem,39.67,456.7,47.8,263.0,428.0,26.754,5.1
2,imag_off,31.52,364.5,16.5,125.0,101.0,22.039,8.85
2,imag_on,32.65,436.4,13.1,156.0,63.0,36.357,6.62
3,shooting,45.74,467.6,39.8,738.0,383.0,51.227,6.76
3,policy_shooting,48.34,478.9,40.2,779.0,393.0,48.396,6.69
3,cem,35.1,446.3,33.3,174.0,179.0,27.098,5.29
3,imag_off,34.49,430.0,41.5,328.0,274.0,45.253,8.81
3,imag_on,41.22,443.0,19.5,153.0,252.0,36.535,6.85
4,shooting,44.42,466.3,46.0,355.0,320.0,64.813,6.92
4,policy_shooting,37.32,438.8,42.2,248.0,185.0,54.984,5.99
4,cem,37.66,426.9,49.5,254.0,268.0,33.25,4.73
4,imag_off,39.32,426.9,31.2,242.0,147.0,46.027,8.33
4,imag_on,39.1,397.5,51.4,440.0,551.0,39.315,6.85
