generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture
1,1000,30,283,131,377,102.924,237.97,409,12.932,0.9474,0.0516
2,2000,30,74,46,96,114.659,240.8,547,12.412,0.9696,0.1077
3,3000,30,103,63,125,108.549,299.0,706,17.404,0.9656,0.1738
4,4000,30,101,97,124,97.488,363.77,755,21.757,0.9559,0.7222
5,5000,30,115,88,211,108.506,429.4,923,33.052,0.9262,0.1065
6,6000,30,104,88,121,104.006,443.1,983,33.413,0.9057,0.5141
7,7000,30,122,88,168,128.02,515.47,982,41.15,0.8331,0.3251
8,8000,30,104,115,132,128.684,529.33,981,49.907,0.8152,0.9432
9,9000,30,90,118,143,144.73,500.53,942,52.782,0.798,0.4407
10,10000,30,89,78,137,161.162,501.7,941,55.553,0.7954,0.3368
